titre,joueurs,duree,age,cat,theme,note
2 Pommes 3 Pains,2 — 6,15 — 30,8,Jeu de Cartes,Alimentation,6.6
30 Carats,3 — 6,30,8,Jeu d'Ambiance,"Commerce,Pierres Précieuses",6.8
50 Missions - ça se complique,1 — 4,30,8,Jeu de Cartes,"Abstrait,Chiffres",7.4
7 Wonders,2 — 7,30,10,Jeu de Cartes,"Antiquité,Civilisations",8.3
7 Wonders Duel,Duo,30,10,Jeu de Cartes,"Antiquité,Civilisations",8.6
75 Gnom' Street,2 — 4,30,10,Jeu de plateau,,6.1
AYA,2 — 5,30,8,Autre,Animaux,5.7
Abyss,2 — 4,45,14,Jeu de Cartes,"Fantastique,Maritime,Mythologie,Océan,Science-fiction",8.0
Acrobatissimo,2 — 4,15,5,Jeu D'Adresse,Cirque,5.0
Aeon's End,1 — 4,60 — 120,14,Jeu de Cartes,"Médiéval Fantastique,Monstres & Créatures",8.6
Akropolis,1 — 4,25,8,Jeu de tuiles,"Antiquité,Construction,Grèce,Urbanisme",8.0
Amanite,2 — 4,30,10,Jeu de plateau,Champignons,7.0
Anachrony,1 — 4,30 — 120,15,Jeu de plateau,"Bourse & Finances,Science-fiction,Technologie",8.5
Arboria,2 — 4,30 — 60,10,Jeu de pions,"Jardinage,Nature,Végétaux",6.1
Architectes du Royaume de l'Ouest,1 — 5,60 — 80,12,Jeu de Cartes,"Médiéval,Ville",8.1
Arriala : Canal De Garonne,2 — 4,30,8,Jeu de plateau,"France,Historique",6.1
Attila,Duo,15,7,Jeu de tuiles,"Abstrait,Guerre,Historique",6.1
Augustus,2 — 6,30,8,Jeu de Cartes,"Antiquité,Empire Romain,Italie",7.3
Azul,2 — 4,30 — 45,8,Jeu de tuiles,"Abstrait,Arts,Portugal,Renaissance",8.1
Azul - Pavillon d'Été,2 — 4,30 — 60,8,Jeu de plateau,"Abstrait,Arts,Médiéval,Portugal",8.0
Bandido,1 — 4,15,6,Jeu de Cartes,"Évasion,Far West",6.8
Bang!,3 — 8,30,10,Jeu de Cartes,Far West,6.7
Barcelona,1 — 4,60 — 90,14,Jeu de plateau,"Barcelone,Construction,Espagne,Ville",8.0
Battle Sheep,2 — 4,15,7,Jeu de pions,"Animaux,Moutons,Nature",7.1
Bazar Bizarre,2 — 8,20 — 30,8,Jeu d'Observation,"Alcool,Animaux,Fantômes & Esprits,Objets,Souris",6.7
Behind,1+,45 — 90,10,Jeu de tuiles,"Espace,Musées,Sciences",7.6
Biblios,2 — 4,30,10,Jeu de Cartes,"Littérature,Médiéval,Religions",6.8
Black Angel,1 — 4,60 — 120,14,Jeu de plateau,"Navigation,Robots & Mechas,Science-fiction",7.6
Blackrock City,2 — 4,30,9,Jeu de Cartes,Far West,5.6
Blitz !,3 — 6,20,10,Jeu d'Ambiance,Abstrait,6.5
Bohnanza,2 — 7,30 — 60,10,Jeu de Cartes,"Commerce,Fruits & légumes",7.0
Bomb Busters,2 — 5,30 — 60,12,Jeu de plateau,"Humour,Terrorisme",8.3
Bombay,2 — 5,45,10,Jeu de plateau,"Alimentation,Animaux,Inde,Transport & voyage",6.3
Boom Bokken,4 — 9,20,8,Jeu d'Ambiance,"Asie,Samuraïs",6.4
Boomerang,3 — 5,30,8,Jeu de Cartes,"Animaux,Kangourous",6.9
BraveRats,Duo,5,7,Jeu de Cartes,"Animaux,Médiéval,Rats",6.7
Brigands,2 — 6,30 — 45,10,Jeu de plateau,Voleur,7.6
Brouhaha,3 — 36,20,6,Jeu de Cartes,Humour,5.2
Bubblee Pop,1 — 2,20,8,Jeu de plateau,"Abstrait,Couleurs,Formes,Jeu vidéo",7.2
Burdigala,2 — 4,45,8,Jeu de plateau,Antiquité,6.7
Can't Stop,2 — 4,30,7,Jeu de dés,"Abstrait,Montagne",7.0
Captain Flip,2 — 5,20,8,Jeu de tuiles,"Maritime,Pirates",7.7
Captain Sonar,2 — 8,45,14,Jeu de plateau,Maritime,7.9
Century - La route des épices,2 — 5,30 — 60,8,Jeu de plateau,Exploration,7.6
Cerbère,3 — 7,45,10,Jeu de plateau,"Enfer,Humour,Mythologie",7.3
Chronicles of Crime - 1400,1 — 4,60 — 90,14,Jeu D'Enquête,"Enquêtes & Mystères,France,Médiéval,Paris",7.8
Chronicles of Crime - 1900,1 — 4,60 — 90,14,Jeu D'Enquête,"Belle Epoque,Enquêtes & Mystères,France,Paris",7.8
Chronicles of Crime - 2400,1 — 4,60 — 90,14,Jeu D'Enquête,"Cyberpunk,Enquêtes & Mystères,Science-fiction",7.6
Château Combo,2 — 5,25,10,Jeu de Cartes,"Château,Construction,Médiéval,Urbanisme",8.0
Clank!,2 — 4,60,12,Jeu de Cartes,"Dragons,Exploration,Médiéval Fantastique",8.4
Clash of Cultures,2 — 4,180+,12,4X,"Antiquité,Civilisations,Colonisation,Exploration,Médiéval",8.6
Clash of Decks - Starter Kit,1 — 2,15,8,Jeu de Cartes,Médiéval Fantastique,6.7
Codenames,2+,15,12,Jeu d'Ambiance,"Espionnage,Lettres,Vocabulaire",7.8
Codenames Images,2 — 8,15,10,Jeu d'Ambiance,Lettres,7.3
Codex Naturalis,2 — 4,25,7,Jeu de Cartes,"Abstrait,Animaux,Arts,Champignons,Insectes,Littérature,Médiéval,Nature,Sciences,Végétaux",7.8
Colt Express,2+,40,10,Jeu de plateau,"Far West,Trains",7.7
Columba,2 — 4,30,8,Jeu de tuiles,"Animaux,Médiéval,Nature",7.3
Concept,4 — 12,40,10,Jeu de Cartes,"Abstrait,Culture générale",7.1
Conspiracy,2 — 4,30,8,Jeu de Cartes,"Fantastique,Océan",7.8
Courtisans,2 — 5,20 — 30,8,Jeu de Cartes,"Médiéval,Royauté",7.7
Crabz,2 — 4,20,8,Autre,"Animaux,Crustacés,Maritime",6.6
Crazy Dancing,6 — 24,30,8,Jeu de Cartes,,5.2
Crazy Kick,2 — 8,15,8,Jeu de Cartes,Sports,6.8
Critical - Fondation - Saison 1,2 — 5,30 — 60,14,Jeu De Rôle,"Science-fiction,Sociétés Secrètes",7.4
